x (mm),Ic(A),Adjusted x(mm),Ic Calibrated (A),4 Reading Running Avg,3 Reading Running Avg,2 Reading Running Avg,30 % drop line,,,,,,,,,,,,
8.2,5.97,-535.41,9.09,11.58,11.14,11.12,57.75,,,Tape Name,M3,Avg Ic from flat Ic,82.5,Avg Uncalib SHPM Ic,54.17993053,Avg calibrated SHPM Ic,82.50,70% Ic,57.75
9.99,8.64,-533.62,13.16,12.42,12.42,12.16,57.75,,,Width,2 mm,Sample 1 Flat Ic,85,,,,,,
11.87,7.33,-531.74,11.16,15.81,12.17,12.04,57.75,,,Spool,,Sample 2 Flat Ic,80,,,,,,
13.76,8.49,-529.85,12.93,16.53,17.36,12.68,57.75,,,SHPM date,5/31/2023,Sample 3 Flat Ic,,,,,,,
15.64,8.16,-527.97,12.43,21.13,17.73,19.58,57.75,,,SHPM speed,10 mm/s,,,,,30% line graph (x),,30% line graph,
17.53,17.56,-526.08,26.74,22.06,24.03,20.39,57.75,,,Approx Length@SHPM,5m,Data Start row #,275,Orig Start Pos,543.61,Adj Start pos (x),0,Start y,57.75
19.42,9.22,-524.19,14.04,20.55,20.50,22.68,57.75,,,Length as per data,4.85896,Data End row #,2721,Orig End Pos,5402.57,Adj End Pos (x),4858.96,End y,57.75
21.3,20.57,-522.31,31.32,20.02,22.72,23.73,57.75,,,,,,,,,,,,
23.19,10.6,-520.42,16.14,19.15,16.26,18.42,57.75,,,,,,,,,,,,
25.07,13.59,-518.54,20.69,20.74,20.15,16.32,57.75,,,,,,,,,,,,
26.96,7.84,-516.65,11.94,19.30,20.75,19.88,57.75,,,,,,,,,,,,
28.84,18.27,-514.77,27.82,21.17,21.76,25.16,57.75,,,,,,,,,,,,
30.73,14.77,-512.88,22.49,18.28,18.95,18.73,57.75,,,,,,,,,,,,
32.62,9.83,-510.99,14.97,16.72,16.88,17.18,57.75,,,,,,,,,,,,
34.5,12.74,-509.11,19.40,15.31,17.30,17.83,57.75,,,,,,,,,,,,
36.39,10.68,-507.22,16.26,15.42,13.94,16.25,57.75,,,,,,,,,,,,
38.27,10.67,-505.34,16.25,14.08,15.14,12.78,57.75,,,,,,,,,,,,
40.16,6.12,-503.45,9.32,12.28,13.35,14.59,57.75,,,,,,,,,,,,
42.04,13.04,-501.57,19.86,14.99,13.27,15.37,57.75,,,,,,,,,,,,
43.93,7.15,-499.68,10.89,14.86,13.37,9.97,57.75,,,,,,,,,,,,
45.82,5.95,-497.79,9.06,16.30,16.18,14.61,57.75,,,,,,,,,,,,
47.7,13.24,-495.91,20.16,19.24,18.71,19.74,57.75,,,,,,,,,,,,
49.59,12.69,-494.02,19.32,19.14,18.93,17.99,57.75,,,,,,,,,,,,
51.47,10.94,-492.14,16.66,20.09,19.08,18.74,57.75,,,,,,,,,,,,
53.38,13.67,-490.23,20.82,20.68,21.23,20.29,57.75,,,,,,,,,,,,
55.36,12.98,-488.25,19.76,21.42,20.63,21.44,57.75,,,,,,,,,,,,
57.35,15.18,-486.26,23.11,21.91,21.98,21.07,57.75,,,,,,,,,,,,
59.33,12.49,-484.28,19.02,19.02,21.51,21.41,57.75,,,,,,,,,,,,
61.31,15.63,-482.30,23.80,17.31,19.02,22.76,57.75,,,,,,,,,,,,
63.3,14.26,-480.31,21.71,19.22,15.15,16.64,57.75,,,,,,,,,,,,
65.28,7.59,-478.33,11.56,18.17,18.39,11.87,57.75,,,,,,,,,,,,
67.27,8,-476.34,12.18,18.71,20.38,21.81,57.75,,,,,,,,,,,,
69.25,20.64,-474.36,31.43,20.41,20.89,24.48,57.75,,,,,,,,,,,,
71.23,11.51,-472.38,17.53,16.86,16.73,15.62,57.75,,,,,,,,,,,,
73.22,9.01,-470.39,13.72,16.27,16.64,16.34,57.75,,,,,,,,,,,,
75.2,12.45,-468.41,18.96,16.96,17.12,18.10,57.75,,,,,,,,,,,,
77.19,11.33,-466.42,17.25,14.97,16.29,16.20,57.75,,,,,,,,,,,,
79.17,9.95,-464.44,15.15,14.71,14.21,15.81,57.75,,,,,,,,,,,,
81.15,10.82,-462.46,16.48,15.40,14.56,13.73,57.75,,,,,,,,,,,,
83.14,7.22,-460.47,10.99,15.55,15.04,13.61,57.75,,,,,,,,,,,,
85.12,10.65,-458.49,16.22,18.21,17.06,17.06,57.75,,,,,,,,,,,,
87.11,11.76,-456.50,17.91,18.88,18.88,17.49,57.75,,,,,,,,,,,,
89.09,11.21,-454.52,17.07,20.22,19.20,19.36,57.75,,,,,,,,,,,,
91.07,14.22,-452.54,21.65,21.64,21.27,20.27,57.75,,,,,,,,,,,,
93.06,12.4,-450.55,18.88,20.31,21.63,21.07,57.75,,,,,,,,,,,,
95.04,15.28,-448.57,23.27,19.66,20.78,23.01,57.75,,,,,,,,,,,,
97.02,14.94,-446.59,22.75,18.30,18.46,19.54,57.75,,,,,,,,,,,,
99,10.72,-444.61,16.32,17.71,16.82,16.32,57.75,,,,,,,,,,,,
100.97,10.71,-442.64,16.31,16.96,18.18,17.06,57.75,,,,,,,,,,,,
102.95,11.7,-440.66,17.82,15.04,17.18,19.11,57.75,,,,,,,,,,,,
104.92,13.4,-438.69,20.40,16.30,14.12,16.86,57.75,,,,,,,,,,,,
106.9,8.75,-436.71,13.32,15.58,14.93,10.97,57.75,,,,,,,,,,,,
108.88,5.66,-434.73,8.62,18.74,16.33,15.74,57.75,,,,,,,,,,,,
110.85,15.01,-432.76,22.86,21.71,22.11,20.19,57.75,,,,,,,,,,,,
112.83,11.51,-430.78,17.53,19.23,21.33,21.74,57.75,,,,,,,,,,,,
114.8,17.04,-428.81,25.95,19.14,19.80,23.24,57.75,,,,,,,,,,,,
116.78,13.48,-426.83,20.53,17.75,16.87,16.73,57.75,,,,,,,,,,,,
118.75,8.49,-424.86,12.93,17.55,16.82,15.04,57.75,,,,,,,,,,,,
120.73,11.27,-422.88,17.16,19.05,19.09,18.77,57.75,,,,,,,,,,,,
122.7,13.38,-420.91,20.37,18.86,19.67,20.06,57.75,,,,,,,,,,,,
124.68,12.97,-418.93,19.75,18.78,18.36,19.32,57.75,,,,,,,,,,,,
126.65,12.41,-416.96,18.90,17.90,18.46,17.66,57.75,,,,,,,,,,,,
128.63,10.79,-414.98,16.43,16.03,17.56,18.24,57.75,,,,,,,,,,,,
130.6,13.17,-413.01,20.05,15.61,15.90,18.13,57.75,,,,,,,,,,,,
132.58,10.64,-411.03,16.20,15.75,14.13,13.83,57.75,,,,,,,,,,,,
134.56,7.52,-409.05,11.45,14.71,15.60,13.10,57.75,,,,,,,,,,,,
136.53,9.68,-407.08,14.74,15.82,15.79,17.68,57.75,,,,,,,,,,,,
138.51,13.54,-405.10,20.62,15.85,16.18,16.32,57.75,,,,,,,,,,,,
140.48,7.89,-403.13,12.01,14.80,14.26,13.96,57.75,,,,,,,,,,,,
142.46,10.45,-401.15,15.91,16.63,15.73,15.38,57.75,,,,,,,,,,,,
144.43,9.75,-399.18,14.85,16.38,16.87,15.65,57.75,,,,,,,,,,,,
146.4,10.8,-397.21,16.45,15.68,16.89,17.88,57.75,,,,,,,,,,,,
148.36,12.69,-395.25,19.32,17.13,15.42,17.11,57.75,,,,,,,,,,,,
150.31,9.78,-393.30,14.89,17.45,16.40,13.48,57.75,,,,,,,,,,,,
152.27,7.92,-391.34,12.06,17.56,18.30,17.16,57.75,,,,,,,,,,,,
154.22,14.62,-389.39,22.26,17.96,19.39,21.42,57.75,,,,,,,,,,,,
156.18,13.52,-387.43,20.59,16.85,16.52,17.96,57.75,,,,,,,,,,,,
158.13,10.07,-385.48,15.33,16.84,15.61,14.49,57.75,,,,,,,,,,,,
160.09,8.96,-383.52,13.64,16.61,17.34,15.74,57.75,,,,,,,,,,,,
162.04,11.72,-381.57,17.85,16.05,17.59,19.19,57.75,,,,,,,,,,,,
164,13.48,-379.61,20.53,16.04,15.46,17.47,57.75,,,,,,,,,,,,
165.95,9.46,-377.66,14.40,15.37,14.54,12.92,57.75,,,,,,,,,,,,
167.91,7.51,-375.70,11.44,16.38,15.69,14.61,57.75,,,,,,,,,,,,
169.86,11.68,-373.75,17.79,17.85,18.02,17.82,57.75,,,,,,,,,,,,
171.82,11.72,-371.79,17.85,18.52,17.88,18.14,57.75,,,,,,,,,,,,
173.77,12.11,-369.84,18.44,18.82,18.75,17.89,57.75,,,,,,,,,,,,
175.73,11.39,-367.88,17.34,18.14,18.95,18.90,57.75,,,,,,,,,,,,
177.68,13.44,-365.93,20.47,17.26,18.40,19.75,57.75,,,,,,,,,,,,
179.64,12.5,-363.97,19.03,16.02,16.19,17.37,57.75,,,,,,,,,,,,
181.59,10.32,-362.02,15.71,16.50,15.02,14.77,57.75,,,,,,,,,,,,
183.55,9.08,-360.06,13.83,16.20,16.76,14.67,57.75,,,,,,,,,,,,
185.5,10.19,-358.11,15.52,16.09,16.99,18.23,57.75,,,,,,,,,,,,
187.46,13.75,-356.15,20.94,14.81,16.28,17.73,57.75,,,,,,,,,,,,
189.41,9.54,-354.20,14.53,12.86,12.77,13.96,57.75,,,,,,,,,,,,
191.37,8.79,-352.24,13.38,13.19,12.30,11.89,57.75,,,,,,,,,,,,
